GDP at market prices (constant, sa) 
Gross domestic product at market prices
Constant 2015 prices. Seasonally adjusted at annual rate
Date,Value
Q1/22,4612502
Q4/21,4524744
Q3/21,4463619
Q2/21,4545514
Q1/21,4483290
Q4/20,4446697
Q3/20,4329921
Q2/20,3806024
Q1/20,4590780
Q4/19,4590743
Q3/19,4592335
Q2/19,4585986
Q1/19,4567339
Q4/18,4609093
Q3/18,4592889
Q2/18,4534721
Q1/18,4544227
Q4/17,4525237
Q3/17,4507506
Q2/17,4499232
Q1/17,4474831
Q4/16,4453803
Q3/16,4450025
Q2/16,4450567
Q1/16,4446289
Q4/15,4435694
Q3/15,4416549
Q2/15,4396745
Q1/15,4434182
Q4/14,4402381
Q3/14,4369662
Q2/14,4348763
Q1/14,4331667
Q4/13,4337650
Q3/13,4314423
Q2/13,4294050
Q1/13,4263041
Q4/12,4230214
Q3/12,4210134
Q2/12,4193087
Q1/12,4158375
Q4/11,4134937
Q3/11,4106842
Q2/11,4089919
Q1/11,4067157
Q4/10,4027494
Q3/10,3990352
Q2/10,3955142
Q1/10,3922218
Q4/09,3876985
Q3/09,3851298
Q2/09,3842387
Q1/09,3855620
Q4/08,3916543
Q3/08,3938966
Q2/08,3929577
Q1/08,3882180
Q4/07,3865942
Q3/07,3811924
Q2/07,3767769
Q1/07,3737141
Q4/06,3677431
Q3/06,3627273
Q2/06,3577857
Q1/06,3527754
Q4/05,3466836
Q3/05,3443785
Q2/05,3397456
Q1/05,3337562
Q4/04,3303974
Q3/04,3269063
Q2/04,3216470
Q1/04,3172140
Q4/03,3124837
Q3/03,3106913
Q2/03,3090143
Q1/03,3075125
Q4/02,3055728
Q3/02,3030515
Q2/02,2996598
Q1/02,2959052
Q4/01,2927262
Q3/01,2904913
Q2/01,2897214
Q1/01,2882809
Q4/00,2865202
Q3/00,2841026
Q2/00,2813164
Q1/00,2787519
Q4/99,2755314
Q3/99,2725336
Q2/99,2695900
Q1/99,2674613
Q4/98,2649152
Q3/98,2646604
Q2/98,2652414
Q1/98,2648668
Q4/97,2641728
Q3/97,2641363
Q2/97,2638740
Q1/97,2622287
Q4/96,2610170
Q3/96,2585910
Q2/96,2555462
Q1/96,2525376
Q4/95,2479444
Q3/95,2471132
Q2/95,2454845
Q1/95,2447808
Q4/94,2441705
Q3/94,2397159
Q2/94,2370502
Q1/94,2347597
Q4/93,2348704
Q3/93,2328828
Q2/93,2299342
Q1/93,2283749
Q4/92,1559236
Q3/92,1572599
Q2/92,1591019
Q1/92,1600838
Q4/91,1612135
Q3/91,1614913
Q2/91,1615540
Q1/91,1619194
Q4/90,1632176
Q3/90,1630663
Q2/90,1632034
Q1/90,1633382
Q4/89,1632076
Q3/89,1642239
Q2/89,1640920
Q1/89,1633832
Q4/88,1623775
Q3/88,1608670
Q2/88,1587322
Q1/88,1576131
Q4/87,1552793
Q3/87,1533962
Q2/87,1528384
Q1/87,1522953
Q4/86,1511957
Q3/86,1505635
Q2/86,1502255
Q1/86,1491954
Q4/85,1509943
Q3/85,1493968
Q2/85,1497922
Q1/85,1508894
Q4/84,1517937
Q3/84,1515594
Q2/84,1541138
Q1/84,1509773
Q4/83,1484583
Q3/83,1447859
Q2/83,1431359
Q1/83,1425440
Q4/82,1447786
Q3/82,1479054
Q2/82,1479432
Q1/82,1491881
Q4/81,1505830
Q3/81,1496494
Q2/81,1475027
Q1/81,1443502
Q4/80,1425794
Q3/80,1422596
Q2/80,1398651
Q1/80,1372558
Q4/79,1344927
Q3/79,1317882
Q2/79,1308119
Q1/79,1299722
Q4/78,1277364
Q3/78,1265843
Q2/78,1279609
Q1/78,1255347
Q4/77,1235039
Q3/77,1228729
Q2/77,1233489
Q1/77,1232305
Q4/76,1235002
Q3/76,1244094
Q2/76,1215182
Q1/76,1239921
Q4/75,1223835
Q3/75,1213827
Q2/75,1204186
Q1/75,1183780
Q4/74,1188540
Q3/74,1199866
Q2/74,1186429
Q1/74,1170343
Q4/73,1148876
Q3/73,1127164
Q2/73,1095481
Q1/73,1100375
Q4/72,1086364
Q3/72,1067460
Q2/72,1066801
Q1/72,1055756
Q4/71,1062017
Q3/71,1054438
Q2/71,1040879
Q1/71,1049434
Q4/70,1034117
Q3/70,998969
Q2/70,1010636
Q1/70,990426
Q4/69,969556
Q3/69,982822
Q2/69,939899
Q1/69,940692
Q4/68,933980
Q3/68,916650
Q2/68,906862
Q1/68,902859
Q4/67,888274
Q3/67,904702
Q2/67,861388
Q1/67,860021
Q4/66,829852
Q3/66,827130
Q2/66,815121
Q1/66,806346
Q4/65,795179
Q3/65,782169
Q2/65,784647
Q1/65,777129
Q4/64,762459
Q3/64,740796
Q2/64,733901
Q1/64,720854
Q4/63,707600
Q3/63,695347
Q2/63,677467
Q1/63,660015
Q4/62,651399
Q3/62,643161
Q2/62,630847
Q1/62,626831
Q4/61,611027
Q3/61,605522
Q2/61,592293
Q1/61,594892
Q4/60,590609
Q3/60,584836
Q2/60,574255
Q1/60,565040